id	filename	md5	size	state
068d8636-bd78-4ea2-9d16-666c660a05c2	068d8636-bd78-4ea2-9d16-666c660a05c2/72c8d597-a4ab-4235-8783-c2e3c0d3bc3d.rna_seq.augmented_star_gene_counts.tsv	2ce665296b154db784fb69436525a2e7	4248576	validated
0c084571-72e0-4592-974e-a00d95e3a6a5	0c084571-72e0-4592-974e-a00d95e3a6a5/648cd526-57df-4ee8-a48e-02babbe7e5c6.rna_seq.augmented_star_gene_counts.tsv	0d96299f2f96c2f74d53486567b18a1a	4259061	validated
1422e1e9-e6d1-4965-aca3-95567b0e66af	1422e1e9-e6d1-4965-aca3-95567b0e66af/0e06eaab-ec01-4b30-be69-d476bf070bb5.rna_seq.augmented_star_gene_counts.tsv	74d5ead02bead9511c3cb55d0e986f8d	4250044	validated
218d3c02-be52-4545-9390-8dd105c080a2	218d3c02-be52-4545-9390-8dd105c080a2/edd29e04-9693-4133-9f00-527ab1063565.rna_seq.augmented_star_gene_counts.tsv	502dac2cc7041f2850db3fdaffdec647	4255188	validated
2ad0503b-3613-40d4-9698-23e853e73902	2ad0503b-3613-40d4-9698-23e853e73902/8c99a8ad-7196-4009-80d9-79f78b75b3ca.rna_seq.augmented_star_gene_counts.tsv	5a5f8cd647a39a9856a3e630e89e8c8a	4249495	validated
2e764b0a-f1c2-4e9c-9a16-95a0cf884754	2e764b0a-f1c2-4e9c-9a16-95a0cf884754/c0eb9d16-2577-4c4d-a2e7-b34747e38aea.rna_seq.augmented_star_gene_counts.tsv	e962f27890db06d6dd4f32d12e495bc6	4247345	validated
3dfa2b7f-ea24-4c0e-8fc7-6177af44d882	3dfa2b7f-ea24-4c0e-8fc7-6177af44d882/0a0b75ab-0e92-4d25-abd0-5ebc075b432b.rna_seq.augmented_star_gene_counts.tsv	443a846d54afe5fe5af143053cf1614f	4250647	validated
3feb57be-de34-4e5a-b224-b00444505159	3feb57be-de34-4e5a-b224-b00444505159/c5b1e632-1936-4da0-b76f-c74d64be1979.rna_seq.augmented_star_gene_counts.tsv	22c9e40803486eea8252c1971859c2dc	4250592	validated
4cb88230-a7c0-4ced-a257-45b7f1163af7	4cb88230-a7c0-4ced-a257-45b7f1163af7/06b24786-bda3-4dde-a750-c542c30c5c9a.rna_seq.augmented_star_gene_counts.tsv	7b48706ea60da21454253aba3d428505	4254268	validated
634895fe-6325-4d91-a9b6-037c3f0e2aea	634895fe-6325-4d91-a9b6-037c3f0e2aea/a88a32c8-8932-4823-8d6a-e63dc70580d9.rna_seq.augmented_star_gene_counts.tsv	890eed2584e5b5883ca6b42a322b4789	4249175	validated
